# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Mar 05 20:42:08 PST 2025 [seed=1741236084154]
state	country.rates.Argentina.Brazil	country.rates.Argentina.Colombia	country.rates.Argentina.Ecuador	country.rates.Argentina.Venezuela	country.rates.Brazil.Colombia	country.rates.Brazil.Ecuador	country.rates.Brazil.Venezuela	country.rates.Colombia.Ecuador	country.rates.Colombia.Venezuela	country.rates.Ecuador.Venezuela	country.indicators.Argentina.Brazil	country.indicators.Argentina.Colombia	country.indicators.Argentina.Ecuador	country.indicators.Argentina.Venezuela	country.indicators.Brazil.Colombia	country.indicators.Brazil.Ecuador	country.indicators.Brazil.Venezuela	country.indicators.Colombia.Ecuador	country.indicators.Colombia.Venezuela	country.indicators.Ecuador.Venezuela	country.nonZeroRates
10000	0.24733803514648636	0.02366156719667162	0.3307519387029887	0.392704406235988	0.19355730572874277	0.5014856806425335	0.3013063915171963	0.9339094445183849	1.0698898575868006	0.8079407899024397	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
11000	0.436195280542215	0.0069412969233519205	0.10034872414828756	0.6167156149698483	1.4075865945810941	1.2213101228282897	1.461386383751119	2.2035425347565214	1.848760096607369	0.2658575432771123	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
12000	0.6688157397803474	0.011346617331555285	0.6518570898534817	0.42982505013470307	0.2327991609764643	0.8416232511326546	0.599206237705599	0.403013541015324	2.211520950691621	1.4307275698995268	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	6.0
13000	0.5315008796692943	0.11166348662888258	1.7222440190994774	0.5940729955679286	0.7532893507494193	1.296028218715577	0.7645308403509473	0.5580040381917364	1.7151518046153624	0.7849408427755312	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
14000	1.607994972602783	0.03712656316601216	2.8366971459120207	1.326814174353631	0.37225297307223	0.4180312767777045	0.934612937378922	0.721141652849296	1.8358336455173834	0.8854967552721091	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	6.0
15000	0.1663594488944254	0.11698168686643874	2.2115020409477713	0.14006500804326333	0.36551014849225166	0.7980954107385217	0.9667229868011847	0.6817021403902692	1.2910153518779337	0.4693917079128307	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
16000	0.19001359201430937	0.2806375582790434	0.6499630428821205	0.3896438825415989	0.18396590775906463	1.113472288021393	0.1554871843163848	0.5257406115923053	0.7766849473711646	0.28702278603927966	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	5.0
17000	0.32580884364114043	0.22283654661157914	0.755358178607613	0.1660873782063696	0.17280589676678337	0.9935999094146841	0.23733318916841048	0.32554380934544996	0.19600623892966276	0.15230213951929356	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
18000	0.6268547733211587	0.1827978421713506	0.37995505496516385	0.34506962815065645	0.23768889182375996	0.2152465281810206	0.3074001205789693	0.11190617614415523	0.6182192399897255	0.14926093211538102	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	6.0
19000	0.48438451844844777	0.09464852865076973	0.8413230512905645	0.5803657874090186	0.6646771376021063	0.25958398700781943	1.1746778763526982	0.1620145558191444	1.7068764249755923	0.49062843543095547	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	7.0
